id,user_id,day,type,none,transport,food,purchases,sortie,other,input,output,balance,created_at,updated_at
41,1,2017-04-04,CASH,0.00,-4800.00,-21500.00,0.00,0.00,267000.00,300000.00,-59300.00,240700.00,"2017-05-19 11:42:27",NULL
42,1,2017-04-03,CASH,0.00,-4800.00,-33100.00,0.00,0.00,0.00,0.00,-37900.00,-37900.00,"2017-05-19 11:42:27",NULL
43,1,2017-03-31,CASH,0.00,-7400.00,-40300.00,0.00,-16400.00,0.00,0.00,-64100.00,-64100.00,"2017-05-19 11:42:27",NULL
44,1,2017-03-30,CASH,0.00,-4800.00,-15900.00,-16400.00,0.00,0.00,0.00,-37100.00,-37100.00,"2017-05-19 11:42:27",NULL
45,1,2017-03-29,CASH,0.00,-4700.00,-38000.00,0.00,0.00,0.00,0.00,-42700.00,-42700.00,"2017-05-19 11:42:27",NULL
46,1,2017-03-28,CASH,0.00,-4800.00,-22400.00,0.00,0.00,-1800.00,0.00,-29000.00,-29000.00,"2017-05-19 11:42:27",NULL
47,1,2017-03-27,CASH,0.00,-2400.00,-3500.00,0.00,0.00,0.00,0.00,-5900.00,-5900.00,"2017-05-19 11:42:27",NULL
48,1,2017-03-26,CASH,0.00,-2500.00,-47600.00,0.00,0.00,-1300.00,0.00,-51400.00,-51400.00,"2017-05-19 11:42:27",NULL
49,1,2017-03-25,CASH,0.00,-15000.00,-11100.00,-2300.00,0.00,0.00,0.00,-28400.00,-28400.00,"2017-05-19 11:42:27",NULL
50,1,2017-03-24,CASH,0.00,-4400.00,-49300.00,0.00,0.00,5167000.00,5167000.00,-53700.00,5113300.00,"2017-05-19 11:42:27",NULL
51,1,2017-03-23,CASH,0.00,-4400.00,-21100.00,0.00,0.00,0.00,0.00,-25500.00,-25500.00,"2017-05-19 11:42:27",NULL
52,1,2017-03-22,CASH,0.00,-4400.00,-20500.00,0.00,0.00,100.00,100.00,-24900.00,-24800.00,"2017-05-19 11:42:27",NULL
53,1,2017-03-21,CASH,0.00,-4400.00,-23700.00,-28900.00,0.00,35000.00,600000.00,-622000.00,-22000.00,"2017-05-19 11:42:27",NULL
54,1,2017-03-20,CASH,0.00,-4300.00,-27500.00,0.00,0.00,100000.00,100000.00,-31800.00,68200.00,"2017-05-19 11:42:27",NULL
55,1,2017-03-19,CASH,0.00,-10600.00,-45900.00,0.00,0.00,-3000.00,0.00,-59500.00,-59500.00,"2017-05-19 11:42:27",NULL
56,1,2017-03-18,CASH,0.00,-4800.00,-40500.00,0.00,0.00,0.00,0.00,-45300.00,-45300.00,"2017-05-19 11:42:27",NULL
57,1,2017-03-17,CASH,0.00,-4400.00,-18300.00,0.00,0.00,0.00,0.00,-22700.00,-22700.00,"2017-05-19 11:42:27",NULL
58,1,2017-03-16,CASH,0.00,-4800.00,-24500.00,0.00,-6000.00,90000.00,100000.00,-45300.00,54700.00,"2017-05-19 11:42:27",NULL
59,1,2017-03-15,CASH,0.00,-4400.00,-23500.00,0.00,0.00,0.00,0.00,-27900.00,-27900.00,"2017-05-19 11:42:27",NULL
60,1,2017-03-14,CASH,0.00,-4450.00,-23300.00,0.00,0.00,0.00,0.00,-27750.00,-27750.00,"2017-05-19 11:42:27",NULL
61,1,2017-03-13,CASH,0.00,0.00,0.00,-80900.00,0.00,0.00,0.00,-80900.00,-80900.00,"2017-05-19 11:42:27",NULL
62,1,2017-03-12,CASH,0.00,-4400.00,-53700.00,0.00,0.00,100000.00,100000.00,-58100.00,41900.00,"2017-05-19 11:42:27",NULL
63,1,2017-03-11,CASH,0.00,0.00,-27000.00,0.00,0.00,0.00,0.00,-27000.00,-27000.00,"2017-05-19 11:42:27",NULL
64,1,2017-03-10,CASH,0.00,-4400.00,-23400.00,0.00,0.00,0.00,0.00,-27800.00,-27800.00,"2017-05-19 11:42:27",NULL
65,1,2017-03-09,CASH,0.00,-4400.00,-23700.00,-124500.00,0.00,0.00,0.00,-152600.00,-152600.00,"2017-05-19 11:42:27",NULL
66,1,2017-03-08,CASH,0.00,-4400.00,-24200.00,0.00,0.00,-15000.00,0.00,-43600.00,-43600.00,"2017-05-19 11:42:27",NULL
67,1,2017-03-07,CASH,0.00,-4400.00,-22700.00,-5600.00,0.00,0.00,0.00,-32700.00,-32700.00,"2017-05-19 11:42:27",NULL
68,1,2017-03-06,CASH,0.00,-4800.00,-27300.00,0.00,0.00,0.00,0.00,-32100.00,-32100.00,"2017-05-19 11:42:27",NULL
69,1,2017-03-05,CASH,0.00,-4600.00,-13000.00,-6600.00,0.00,0.00,0.00,-24200.00,-24200.00,"2017-05-19 11:42:27",NULL
70,1,2017-03-04,CASH,0.00,0.00,-30700.00,-7600.00,0.00,200.00,200.00,-38300.00,-38100.00,"2017-05-19 11:42:27",NULL
71,1,2017-03-03,CASH,0.00,-4800.00,-89900.00,0.00,0.00,-400.00,0.00,-95100.00,-95100.00,"2017-05-19 11:42:27",NULL
72,1,2017-03-02,CASH,0.00,-4800.00,-34000.00,0.00,0.00,0.00,0.00,-38800.00,-38800.00,"2017-05-19 11:42:27",NULL
73,1,2017-03-01,CASH,0.00,-6800.00,-24100.00,-9900.00,0.00,-50000.00,0.00,-90800.00,-90800.00,"2017-05-19 11:42:27",NULL
74,1,2017-02-28,CASH,0.00,-7200.00,-17000.00,0.00,-64000.00,0.00,0.00,-88200.00,-88200.00,"2017-05-19 11:42:27",NULL
