id,user_id,cat_id,event_date,value,type,created_at,updated_at
80,1,2,"2017-03-10 17:07:00",-8300.00,CASH,"2017-05-12 16:08:11",NULL
81,1,1,"2017-03-10 17:32:00",-2000.00,CASH,"2017-05-12 16:08:11",NULL
82,1,8,"2017-03-11 18:39:26",-25900.00,CASH,"2017-05-12 16:08:11",NULL
83,1,9,"2017-03-11 19:45:21",-1100.00,CASH,"2017-05-12 16:08:11",NULL
84,1,8,"2017-03-12 20:28:00",-13900.00,CASH,"2017-05-12 16:08:11",NULL
85,1,18,"2017-03-12 20:37:00",-2400.00,CASH,"2017-05-12 16:08:11",NULL
86,1,1,"2017-03-12 08:03:00",-2400.00,CASH,"2017-05-12 16:08:11",NULL
87,1,4,"2017-03-12 08:52:00",-2800.00,CASH,"2017-05-12 16:08:11",NULL
88,1,6,"2017-03-12 13:30:21",-19200.00,CASH,"2017-05-12 16:08:11",NULL
89,1,18,"2017-03-12 13:58:59",-10100.00,CASH,"2017-05-12 16:08:11",NULL
90,1,1,"2017-03-12 15:23:47",-2000.00,CASH,"2017-05-12 16:08:11",NULL
91,1,24,"2017-03-12 19:28:00",100000.00,DEBIT,"2017-05-12 16:08:11",NULL
92,1,8,"2017-03-12 19:58:23",-5300.00,CASH,"2017-05-12 16:08:11",NULL
93,1,25,"2017-03-13 23:46:19",-80900.00,CASH,"2017-05-12 16:08:11",NULL
94,1,1,"2017-03-14 08:00:00",-2450.00,CASH,"2017-05-12 16:08:11",NULL
95,1,2,"2017-03-14 08:30:00",-1300.00,CASH,"2017-05-12 16:08:11",NULL
96,1,6,"2017-03-14 13:58:55",-22000.00,CASH,"2017-05-12 16:08:11",NULL
97,1,1,"2017-03-14 18:52:16",-2000.00,CASH,"2017-05-12 16:08:11",NULL
98,1,1,"2017-03-15 07:15:00",-2400.00,CASH,"2017-05-12 16:08:11",NULL
99,1,4,"2017-03-15 07:54:00",-2700.00,CASH,"2017-05-12 16:08:11",NULL
100,1,6,"2017-03-15 13:12:24",-9500.00,CASH,"2017-05-12 16:08:11",NULL
101,1,1,"2017-03-15 17:03:36",-2000.00,CASH,"2017-05-12 16:08:11",NULL
102,1,8,"2017-03-15 18:21:42",-10500.00,CASH,"2017-05-12 16:08:11",NULL
103,1,18,"2017-03-15 18:52:36",-800.00,CASH,"2017-05-12 16:08:11",NULL
104,1,1,"2017-03-16 08:07:49",-2400.00,CASH,"2017-05-12 16:08:11",NULL
105,1,4,"2017-03-16 08:50:23",-2700.00,CASH,"2017-05-12 16:08:11",NULL
106,1,6,"2017-03-16 15:36:00",-15500.00,CASH,"2017-05-12 16:08:11",NULL
107,1,26,"2017-03-16 17:28:00",-10000.00,CASH,"2017-05-12 16:08:11",NULL
108,1,1,"2017-03-16 17:36:00",-2400.00,CASH,"2017-05-12 16:08:11",NULL
109,1,24,"2017-03-16 18:16:00",100000.00,CASH,"2017-05-12 16:08:11",NULL
110,1,7,"2017-03-16 18:22:00",-2800.00,CASH,"2017-05-12 16:08:11",NULL
111,1,23,"2017-03-16 19:20:00",-3500.00,CASH,"2017-05-12 16:08:11",NULL
112,1,27,"2017-03-16 20:10:00",-3000.00,CASH,"2017-05-12 16:08:11",NULL
113,1,27,"2017-03-16 20:45:00",-3000.00,CASH,"2017-05-12 16:08:11",NULL
114,1,1,"2017-03-17 07:20:00",-2400.00,CASH,"2017-05-12 16:08:11",NULL
115,1,4,"2017-03-17 08:21:00",-2800.00,CASH,"2017-05-12 16:08:11",NULL
116,1,6,"2017-03-17 13:55:36",-15500.00,CASH,"2017-05-12 16:08:11",NULL
117,1,1,"2017-03-17 17:26:18",-2000.00,CASH,"2017-05-12 16:08:11",NULL
118,1,1,"2017-03-18 09:30:00",-2400.00,CASH,"2017-05-12 16:08:11",NULL
119,1,6,"2017-03-18 14:02:52",-24800.00,CASH,"2017-05-12 16:08:11",NULL
120,1,2,"2017-03-18 14:48:00",-5700.00,CASH,"2017-05-12 16:08:11",NULL
121,1,1,"2017-03-18 15:53:00",-2400.00,CASH,"2017-05-12 16:08:11",NULL
122,1,8,"2017-03-18 20:40:00",-10000.00,CASH,"2017-05-12 16:08:11",NULL
123,1,4,"2017-03-19 07:13:00",-3400.00,CASH,"2017-05-12 16:08:11",NULL
