#,AreaId,City,Area,Status,Id,PlaceId,Name,Rating,Lat,Lng,LatNE,LngNE,LatSW,LngSW
22,1,Medellin,Poblado,OK,5485ad067fe64a6d9ca12646aaaba030afeecf0c,ChIJlYYMiIKCRo4RABARTwxAofw,Sindominio Artbar,5,6.2064,-75.565434,6.20775308029,-75.5640728197,6.20505511971,-75.5667707803
23,1,Medellin,Poblado,OK,1df5310c855b1c7630605837aeb3faf42e5f8365,ChIJ6cNCzikoRI4R71Ms2BxVfUg,La flauteria,0,6.2078437,-75.5659768,6.20917588029,-75.5645908697,6.20647791971,-75.5672888303
24,1,Medellin,Poblado,OK,9b889b0e0852f6b84a7f28264877879943f68732,ChIJVdJCyikoRI4Ru-EbiwumVLY,Mojito Salsa Guaracha y Son.,4.5,6.2082766,-75.5657428,6.20963088029,-75.5644073197,6.20693291971,-75.5671052803
25,1,Medellin,Poblado,OK,4c556e1c497078c684dc60a5e6351b3043851c40,ChIJWxwBzCkoRI4RJuPtaaE8bbw,Altagracia Café/Bar,5,6.208245,-75.5658432,6.20957618029,-75.5644481197,6.20687821971,-75.5671460803
26,1,Medellin,Poblado,OK,e889333d5a34ff4cc6d0d11d1bb9b34078bd6de1,ChIJWWii0SkoRI4RcaBsPS4kfFU,AltaGracia Café/Bar,4.6,6.2082401,-75.5658312,6.20957363029,-75.5644421697,6.20687566971,-75.5671401303
27,1,Medellin,Poblado,OK,da5998129a273d20bcf6892615fb3da16ed07b45,ChIJd7cWyikoRI4RmauPHhkEEK8,Cubata Bar,4.5,6.2083046,-75.5658152,6.20963628029,-75.5644221197,6.20693831971,-75.5671200803
28,1,Medellin,Poblado,OK,5b130d348607a794e21ca142ebc81dde43e87a03,ChIJFz1RTigoRI4RucjDiZDThtU,savannah city bar restaurante,3.8,6.2088533,-75.5649998,6.21018803029,-75.5636190197,6.20749006971,-75.5663169803
29,1,Medellin,Poblado,OK,2f52553d4d6163e8a3a47f13d4362f6173db98a2,ChIJT9CXxCkoRI4RWgx0fHHVU50,heard from,4.1,6.2078254,-75.5665516,6.20917723029,-75.5652152197,6.20647926971,-75.5679131803
30,1,Medellin,Poblado,OK,dcf47a4bf562813c7be453989336c35373636432,ChIJz93C7SkoRI4ReJF2sB3HdP0,Antiguo Jamrock,3,6.208207,-75.566496,6.20953853029,-75.5651001197,6.20684056971,-75.5677980803
31,1,Medellin,Poblado,OK,6e9fdff69e3686926b3b0c795a5cb400a7490fd1,ChIJ-8XP5ikoRI4RbGXZfyvahi4,37 Park,4.4,6.2075837,-75.5671295,6.20895663029,-75.5658333697,6.20625866971,-75.5685313303
32,1,Medellin,Poblado,OK,2775a1304e7f4290dff06ef2440892361c53f235,ChIJozGf4ykoRI4RIJvSDLU8ToU,LA CURVA BAR,4.4,6.2075169,-75.5673327,6.20886588029,-75.5659837197,6.20616791971,-75.5686816803
