slug
0001.the-pit-stop-hostel
0002.mekatos-la-65
0003.lupe
0004.bar-bourbon
0005.zona-10
0006.jamrock-bar
0007.carmen
0008.san-carbon
0009.bar-el-solar
0010.restaurante-basilica
0011.hooters-medellin
0012.restaurante-mistura-provenza
0013.morena-el-museo-colombomexicano
0014.la-octava-bar
0015.restaurante-hummus-grill-wine
0016.bar-el-blue
0017.tinto-tintero-cafe-bar
0018.latineria
0019.rubor-barra-dance
0020.mokana-bar
0021.bogota-beer-company
0022.sindominio-artbar
0023.la-flauteria
0024.mojito-salsa-guaracha-y-son
0025.altagracia-cafebar
0026.altagracia-cafebar
0027.cubata-bar
0028.savannah-city-bar-restaurante
0029.heard-from
0030.antiguo-jamrock
0031.37-park
0032.la-curva-bar
0033.envy-sushi-bar
0034.la-central-bar
0035.chupitos
0036.envy-rooftop
0037.basilica
0038.barchiquita
0039.jensons-bar
0040.pub-rock-lleras
0041.pa-entro-fonda-bar
0042.addict-shots
0043.ay-caramba-the-original-tex-mex
0044.la-sagrada-tienda-fonda
0045.skybar-medellin
0046.juan-bala-fonda
0047.mi-lupe-lleras
0048.la-clinica-lleras
0049.donde-aquellos-bar
0050.iwanna-ice
0051.baren
0052.donde-su-madre
0053.la-chingona
0054.bruno-forno-e-vino
0055.donde-chepe-dos
0056.la-terraza-medellin
0057.oye-bonita-del-lleras
0058.beer-store
0059.bar-restaurante-divino-cielo
0060.midnight-bar
0061.mekatos-la-65
0062.el-oso-negro
0063.underground
0064.lunalunera-medellin
0065.the-wandering-paisa
0066.nuestro-bar
0067.viva-discoteca
0068.licorera-nutibara
0069.bar-el-solar
0070.albenzu-restaurante-bar
0071.vertigo-bar
0072.casa-di-mazza
0073.albenzu-restaurante-bar
0074.cafe-restaurante-bar-luna-more
0075.fonda-cana-brava
0076.centro-cultural-plazarte
0077.parche-casa-verde
0078.restaurante-gran-plaza
0079.mariachis-en-medellin-los-reyes-de-mexico-mariachis-economicos
0080.barrio-central-cafe-bar
0081.barc2
0082.carboncito-bar
0083.la-tienda-de-la-70
0084.melodia-para-dos
0085.mariachi-mexicanisimo
0086.bodega-de-licores
0087.tropical-coctails-laureles
0088.el-cacique-bar
0089.kings-town
0090.la-cantina-de-pancho
0091.el-tibiri
0092.bar-4ta-dimension
0093.larepa
0094.bikini-cocktails-laureles
0095.samsara-resto-bar
0096.alitacos
0097.restaurante-mistura-laureles
0098.ay-caramba
0099.eventos-y-chef-a-domicilio
0100.mezzaluna-salad-bar
0101.santa-bebeta
0102.cunachos
0103.karaoke-palmas-33
0104.salon-malaga
0105.camino-real-de-mexico
0106.universo-rojo
0107.el-barrilito
0108.el-covacho
0109.portal-marinillo
0110.teres-cafe-bar
0111.hotel-confort-obelisco
0112.el-grifo-bar
0113.la-cantera-liquor
0114.gana-bar-boyaca
0115.tortugos
0116.friends-club
0117.simon-parrilla
0118.bar-restaurante-hatoviejo-centro
0119.fonda-discoteca-el-tapial
0120.citrus-bar
0121.lancaster-house
0122.hotel-movich-chico-97
0123.andres-dc
0124.bardot
0125.pachanga
0126.palco-93
0127.full-80s-118
0128.tresor-lounge-bar
0129.restaurante-gaira-cafe
0130.apolos-men
0131.spin
0132.juan-valdez
0133.terraza-del-valle
0134.yazta
0135.mar-de-fondo
0136.irish-bar
0137.viva-brasil-rodizio
0138.el-rodizio
0139.casa-de-la-cerveza
0140.kathmandu
0141.clinica-la-carolina
0142.la-hamburgueseria
0143.tribeca
0144.beer-station-116
0145.tienda-de-cafe
0146.galeria-cafe-libro
0147.bistronomy
0148.la-villa
0149.balche-wine-bar
0150.voila
0151.la-puerta-de-alcala
0152.bogota-beer-company-cedritos
0153.the-irish-pub
0154.rock-garden-pub
0155.the-red-lion-english-pub
0156.santo-pecado
0157.plaza-mexico
0158.cafe-y-crepes
0159.night-club-extasis
0160.revolution-bar
0161.la-xarcuteria-93
0162.cavu-club
0163.jawa
0164.el-df
0165.cantares
0166.tekila
0167.simona
0168.el-mozo-club
0169.clover-pub-restaurante
0170.la-leyenda
0171.khromatiko-lounge
0172.santa-bar
0173.music-factory
0174.el-cutre
0175.coconuts
0176.yeira-lunch-drinks
0177.shamua
0178.la-chula
0179.london-calling-pub
0180.bogota-beer-company
0181.jw-marriott-hotel-bogota
0182.hotel-emaus-bogota
0183.hotel-ferrovial-corferias
0184.hotel-tryp-bogota-embajada
0185.la-pinta
0186.kirlybang-kaffe
